author_id,id_paper
4031381,2109899634
20676059,12554622
20676059,49298021
20676059,89116388
34855539,145141385
34855539,2172847
89635942,2107359206
89635942,89435040
89635942,2217522759
89635942,2078664385
89635942,4615472
147319514,4842067
147319514,1922575
210268882,1484341853
210268882,4044901
210268882,34452719
210268882,1484331047
210268882,1484342023
210268882,1484324880
210268882,1484344057
95796464,92330709
95796464,145378244
95796464,32432954
184052487,94230338
184052487,94375510
82369106,3641792
82369106,4010554
82369106,4600552
129442394,2500345
129442394,3946703
129442394,12842095
129442394,12019344
129442394,27483445
129442394,8871780
262378498,107808191
215725635,47799640
215725635,6629885
215725635,32087315
215725635,3924449
215725635,144276555
80242383,46700150
80242383,17769222
80242383,9689824
106944413,68990175
106944413,69038354
182666887,93765554
182666887,135770808
182666887,136120469
228759344,101765225
251549362,2161128057
96360762,145722793
96360762,8766083
33350831,5388653
257934434,2213941589
257934434,84090772
257934434,2198852418
257934434,2145232733
235772821,50380551
235772821,4126087
235772821,1728777
235772821,4822316
135855640,9218186
135855640,30165014
135855640,2952562
158195650,50683845
155193855,117304181
235478839,7273631
235478839,2066455373
235478839,2081864595
235478839,72739566
274826730,2460152
30624879,9820983
218565287,72159414
126354601,144001753
235482877,5386574
235482877,2113775536
235482877,2113773041
235482877,145076121
235482877,1413463429
235482877,4848277
235482877,1393668031
235482877,1694939
113009492,144865515
185335635,116426542
53709799,2706356
53709799,2122133278
53709799,145251367
24889326,14708350
24889326,15998380
24889326,4388539
24889326,3831587
24889326,36199035
24889326,8372238
24889326,2483657
128735081,51293705
128735081,104109859
128735081,145826012
230649470,49603029
230649470,152345799
230649470,2110094619
168982943,119476423
168982943,115147915
172981356,2111068981
172981356,2053174560
172981356,87388734
172981356,88361702
172981356,81800082
172981356,120403011
231845683,2108192857
231845683,2059059835
231845683,6272542
231845683,2065026672
12578342,145061226
12578342,2106087790
12578342,2069553226
12578342,31916893
12578342,10167967
12578342,3358466
12578342,3221680
12578342,35038806
12578342,1838486
67378732,65859364
178921911,123963234
32558898,83791131
32558898,5115969
32558898,4512009
32558898,15067434
32558898,145628883
256477880,2203922486
256477880,2883689
177326522,135786364
89672111,6756801
89672111,3992938
204330765,145947960
204330765,2011719
19570819,7177372
195527855,147709199
269284225,2297688665
255989970,3660426
255989970,4801172
255989970,4685143
255989970,5121488
255989970,4024495
255989970,6295104
255989970,4167467
255989970,2761712
78402966,3608734
59519296,145808089
68206240,153011716
68206240,2604336
84949233,2297508
84949233,88684939
84949233,30747581
84949233,144832883
22458615,2150166989
135926710,1991224
135926710,1976217953
7626067,3386743
7626067,144210349
7626067,6267356
7626067,5937102
124305949,49664852
124305949,50023077
100221604,5915530
100221604,2266113
208345781,90671881
208345781,90024895
23072415,119855979
23072415,47685225
23072415,2958171
23072415,39878913
25826502,145846701
25826502,1399511395
25826502,5120752
25826502,2279795
34974323,3438204
34974323,8564504
268670837,2248069657
268670837,2293206940
268670837,2293203977
268670837,2248231332
232430141,2090490630
232430141,2053270225
232430141,2350306866
232430141,2064266703
252367265,2238264773
252367265,2185410451
90415210,143798052
196026910,1411174516
196026910,1414672077
196026910,1414672641
196026910,1414674816
265449953,2268357675
265449953,2268354733
265449953,2268356280
265449953,2268351510
265449953,2268335277
265449953,2268373243
110396725,3088038
110396725,145446703
110396725,35837033
216955674,1672408062
130800542,50682838
130800542,2144063580
130800542,49449659
130800542,104981306
130800542,2188113561
6350943,5570879
6350943,38634798
6350943,49647668
6350943,145523391
6350943,2152185389
6350943,2081953040
6350943,35268902
6350943,49574240
6350943,2198142
203720147,6728709
203720147,1396946937
203720147,47490415
203720147,3628169
203720147,145598728
203720147,5943888
195490351,119411125
18019367,39625734
18019367,72514435
268186377,2243033549
145604338,72505078
177710677,82066062
177710677,87939314
253211162,2082252273
253211162,2090707345
274797030,50505158
15487862,1413185103
15487862,98365717
181969625,91129817
181969625,136300488
193895118,2107583329
193895118,12565863
193895118,91004341
193895118,145210576
96808376,143990714
3573883,31337459
3573883,52103764
3573883,1809291
52040671,143601763
2677056,152788841
2677056,91460587
246852339,83424562
8678349,3200394
8678349,144382822
8678349,6410044
8678349,1933574364
8678349,2668259
22638841,145623209
62173528,47335842
62173528,2112145652
62173528,2109346288
110714546,144761782
110714546,2342054054
208754449,2260403336
208754449,38322312
220381901,46779638
220381901,3119182
220381901,2405073
218924507,6361212
251746131,1403740624
251746131,1471202621
251746131,2182439877
138464820,41053149
138464820,98022221
85339728,12979267
85339728,145610600
109030589,49952569
109495592,2340309
109495592,47945333
109495592,47323548
109495592,9128007
109495592,47366884
268586144,2147061116
268586144,2267278623
268586144,2292532398
268586144,2292596449
136436401,1484418012
88777166,2118473746
88777166,2115277025
148294100,66771245
220265543,47614688
220265543,91735070
85648104,2061484208
230536434,145650192
233698238,144990872
26729151,6621216
26729151,115863321
844951,3963563
16985969,92042770
79616434,2093988895
148643233,2113887125
148643233,145566744
148643233,31915056
148643233,3822738
148643233,35883329
173504418,136271667
192905632,2072952878
192905632,2060272698
167974175,152348512
206127782,144450866
265367,4250507
265367,49108186
265367,5498032
265367,6795567
94311139,74574826
85128723,90888319
85128723,120168370
85128723,2113501289
245852459,47785699
245852459,46947185
245852459,2155568462
145882738,15089275
145882738,51514212
210251349,48271338
64551036,6086660
64551036,2152880386
90572846,1441229114
90572846,1441228220
90572846,1435494983
90572846,1441221390
198965504,2150905390
118430867,26967762
1583102,2410413
1583102,143968002
171030559,104222417
220373508,8108811
220373508,144326312
220373508,5206291
220373508,5813091
220373508,5617928
250880137,2177747545
