author_id,author_name
91519211,A. Joachimiak
1519599869,ヨシノブ カワノ
1999935996,Yugam Bajaj
29140713,Christopher V. Nguyen
67286006,A. Spisak
14565371,R. Gant
116213854,Jennifer L. Gellock
15581015,Kristen L. Helton
108287572,山根 雅仁
96897934,Ü. Er
2058816780,Kazuaki Miyakoshi
2865426,F. Linkov
2152505301,Lei Wang
144790455,P. Hyman
14744936,S. Wethington
32886107,K. Casey
2053225886,L. Vergolini
83992136,Beom-Jun Kim
146140774,Andheri D N Nagar
135769832,川崎 あや
9834604,A. Zhang
108803411,A. Teclu
113038143,姚洪凯
2204329537,Stephen Avila
134306513,L. Javier
3509576,S. Ryu
95826347,성혁제
2172847,J. Hardcastle
1401466788,T. Young‐Fadok
10429387,G. Perlovich
2713211,J. Mönch
2271835379,David J. Thompson
48355114,U. Pietsch
145600565,Ashutosh Sharma
49060634,J. Champion
88172939,최근석
47335842,Shiping Chen
47956125,H. Lindner
104882940,Sandu Ville
4746667,J. Koebke
2058526580,Riccardo Guastini
116426542,Elenise Felzke Schonardie
145100332,Amelia Yolanda
152569694,H. Schmidt
4143870,Erik G. Cohen
1691044,Y. Hsieh
2131851654,Douglas Mooney
121864631,Aynur Acer
104957079,S. Périgois
2340919346,P. F. Peddi
2057250144,Alan Vranjković
4441512,T. Mitsudomi
47999129,R. Hassani
2081029524,Chen Hongsheng
1784090,M. Dorn
49252217,Jiaqi Chen
49337711,Jonathan Butters
3420411,H. T. Ong
13371686,D. Radocki
51456805,Yuansheng Zheng
1734119,A. Ephremides
2310241818,Mathias Brucker
1671234523,C. P. Panu Napodano
1393760146,C. Chasseboeuf
2053593043,Kun Luo
1455688063,Hyoun-Su Kim
1401483753,A. Matsumoto-Oda
2219784421,Julong He
35355670,K. V. Mzhel'skaya
122171591,Adolf Koczirz
4456520,Walter A. Korfmacher
88967881,Du Pasquier Louis
31053822,M. Dooraghi
2097480266,刘世良
31657753,M. Meldgaard
3078043,L. Sangiorgi
1825292527,Z. Coles
2143870174,Hamed Jafarzadeh
91588770,J. Wuhrmann
95887634,J. Prévost
2108333001,Peter X. Wang
34508613,J. Goldberger
2161128057,Léna Georgeault
6612014,Renatus W. Sinkeldam
4037132,G. Salles
5392565,Chang‐an Guo
91286905,河野 恵宣
9853774,K. Miyabe
13093031,Susan H. Yoon
2057773913,R. F. Pegoraro
80441660,A. Piazza
2046683816,Bo Yu
120793189,Heinrich Ignaz Franz Biber
81527052,Mustafa Otrar
2072952878,Luis M. García-López
101012940,Not Specified
2111195443,Peng Wu
88210256,N. Platé
16331921,V. Tarle
2108822760,Yul W Yang
145210310,W. Ernst
46693493,B. Lerman
144476444,M. Derman
2070032793,D. Perdana
3007451,R. Pope
34727509,N. Maraldi
90340075,周维官
91219367,G. Fahrbach
50655108,Christine Benz
144046643,Alicia C. Bunger
1380576010,M. Ghasemi
1703324,Lea Kissner
2007568279,Jian-xin Liu
2114362846,Bruno Martin
2245705242,K. L. Lee
2113773041,Khaoula Makouri
2803310,C. Rivolta
123464908,Pondok Pesantren
103645716,M. Devoto
1474662965,州西·考汉
47949128,W. C. Ellis
2137559672,Asmita Wani
82301449,Liu-jiang Yang
119387520,Zaini Muchtarom
7465342,Ido Dagan
1413463429,I. Reiss
1665922190,帅莎莎
2153689282,Xin Wang
32018454,A. Barr
2129594808,Jessica Corrêa Pantoja
1399209343,Marie-Josée Jacobin-Valat
1391185715,A. K. Paul
10167967,Gregory A. Kust
1420227743,F. Roy-Péaud
2113592343,Javier A. Cepeda
144223944,U. Vogel
114773069,Dwayne Walters
2157210195,P. Zhang
7692211,J. Tanenbaum
145396405,Yin Sun
2108610,Jae-Weon Jeong
145793821,H. Castro
2072245016,André Wénin
5115969,J. Byun
2177193011,H Larabi
80290412,Lucas Castro
104495903,Ernesto Iglesias Almeida
3924449,Drew R. Schield
2562711,A. Heinig
52124053,Ila Rosilawati
74410806,وحیده احراری خلف
40221273,P. Marshall
103706388,F. Fortunel
152496861,大地 今村
2302929765,Marcos Aceves
2267400455,Craig Y. S. Ho
92849096,王郁
2305994774,Abhilasha Shastri
48203595,B. McCullough
97614606,E. Venter
1872431,P. Davies
2094501685,Zhang Linnan
123601424,M. Sami
46466992,P. Wojciechowski
144002813,J. Griffiths
39527243,J. Wolff
147709199,Nurlan Sharshenkulov
47204431,Z. Altun
39114372,A. Chizhik
116711931,Keith Nield
145123910,S. S. Nath
2111068981,Xilong Zhao
21689522,E. Verdaguer
47507227,Fatemeh Ghorbanzadeh
2215367043,Aimee Goss
2111010115,R. Wilson
152873548,Chuan‐wen Sun
8506735,R. Subotnik
3616127,K. Siju
119024310,John A. Dearborn
2145953740,Yang Zhang
2123739992,A. Elghandour
49030897,J. Ardila
47304181,Yangyang Pan
46721533,Y. Şahin
100613084,Soo-Yeol Yoon
1678749,W. V. van Gunsteren
3625137,C. Kohli
147404455,Mirelly Cristie Antunes Cabral Araújo
96084707,平塚 善勝
9947918,G. Chita
40627456,Thies Schroeder
2550622,B. Forget
1423724600,Twilla Locklear-Haynes
2281616551,Mohit Kumar
152516593,H. Cohen
2317422965,Jason Woods
14942299,J. Houck
2110286159,Jinhong Wang
152345799,V. Koul
2237799846,David J. Stewart
34781879,S. Safi
1484324880,D. HutcheonI.
91724254,内藤 和夫
1766338,Hong-quan Yu
145893247,J. Iria
2152879479,Hae-Seon Park
3810830,R. Mcelhinney
1581710151,Khairulis Shobirin
144325769,G. Stewart
16271026,Shaoji Zhou
2257215790,Kyungmin Kim
2077329710,M. Alriyami
31273794,Jun Guo
36439272,C. Ou
2151811077,Jian Zhang
92409618,J. Peyer
144461073,D. Vargas
49661510,A. Borrell
48675623,Jia Song
3474825,T. Koelling
69474723,T. Fwa
153773431,B. Murray
1750345,Rubo Zhang
5267378,L. Gottin
147131843,Jana Peroutková
2294296795,Armin Schwienbacher
2113501289,Heitor H. Yoshida
144307147,H. Burrows
73604816,清水 和彦
115147915,W. M. Morrison
49169003,L. Qin
144990872,L. Kumar
2068431675,Takeshi Kuwata
91032688,F. H. Hsu
3299939,J. Orteu
47315834,A. Braun
8330808,U. Trulsson
2837615,K. Haugaa
30918119,P. Weilerstein
16751816,F. OrtizQuezada
4635849,M. Guillán
16190487,O. Taşcă
1982805,T. Binoth
32432954,S. Manahan
2055293991,M. Johansson
49303189,I. Zabalegui
113783429,アツシ イカリ
2264103931,Muhan Zhang
8439352,Tatiana Hurtado de Mendoza
49019808,Sujian Guo
2076918295,J. Bitzer
12762462,N. Vandenbroeck
2139160959,Fuli Zhang
1793830,C. Ang
2072365979,松田 直樹
2146043628,Jie Wang
2109899634,Yan-Shun Ren
